areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
overview,United Kingdom,K02000001,2021-07-11,30503,5291451,30184,5261829,319,29622
overview,United Kingdom,K02000001,2021-07-10,28379,5260948,28061,5231645,318,29303
overview,United Kingdom,K02000001,2021-07-09,32803,5232569,32398,5203584,405,28985
overview,United Kingdom,K02000001,2021-07-08,34016,5199766,33590,5171186,426,28580
overview,United Kingdom,K02000001,2021-07-07,38597,5165750,38089,5137596,508,28154
overview,United Kingdom,K02000001,2021-07-06,36060,5127153,35595,5099507,465,27646
overview,United Kingdom,K02000001,2021-07-05,34918,5091093,34414,5063912,504,27181
overview,United Kingdom,K02000001,2021-07-04,25169,5056175,24848,5029498,321,26677
overview,United Kingdom,K02000001,2021-07-03,24010,5031006,23711,5004650,299,26356
overview,United Kingdom,K02000001,2021-07-02,26340,5006996,25980,4980939,360,26057
overview,United Kingdom,K02000001,2021-07-01,28794,4980656,28310,4954959,484,25697
overview,United Kingdom,K02000001,2021-06-30,28923,4951862,28520,4926649,403,25213
overview,United Kingdom,K02000001,2021-06-29,28199,4922939,27788,4898129,411,24810
overview,United Kingdom,K02000001,2021-06-28,28418,4894740,27940,4870341,478,24399
overview,United Kingdom,K02000001,2021-06-27,18502,4866322,18226,4842401,276,23921
overview,United Kingdom,K02000001,2021-06-26,16301,4847820,16059,4824175,242,23645
overview,United Kingdom,K02000001,2021-06-25,18169,4831519,17866,4808116,303,23403
overview,United Kingdom,K02000001,2021-06-24,18712,4813350,18404,4790250,308,23100
overview,United Kingdom,K02000001,2021-06-23,18350,4794638,18023,4771846,327,22792
overview,United Kingdom,K02000001,2021-06-22,17403,4776288,17097,4753823,306,22465
overview,United Kingdom,K02000001,2021-06-21,16307,4758885,16032,4736726,275,22159
overview,United Kingdom,K02000001,2021-06-20,10088,4742578,9927,4720694,161,21884
overview,United Kingdom,K02000001,2021-06-19,8446,4732490,8299,4710767,147,21723
overview,United Kingdom,K02000001,2021-06-18,10320,4724044,10099,4702468,221,21576
overview,United Kingdom,K02000001,2021-06-17,11106,4713724,10856,4692369,250,21355
overview,United Kingdom,K02000001,2021-06-16,11052,4702618,10857,4681513,195,21105
overview,United Kingdom,K02000001,2021-06-15,10796,4691566,10561,4670656,235,20910
